Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2015,F,25-34,Hispanic,Malignant Neoplasms,23
2015,F,25-34,Hispanic,Accidents,33
2015,F,25-34,Hispanic,All Other Causes,60
2015,F,25-34,Hispanic,Total,132
2015,F,25-34,Not Stated,Diseases of the Heart,1
2015,F,25-34,Not Stated,Malignant Neoplasms,1
2015,F,25-34,Not Stated,All Other Causes,5
2015,F,25-34,Not Stated,Total,7
2015,F,25-34,Other Non Hispanic,Diseases of the Heart,1
2015,F,25-34,Other Non Hispanic,Accidents,5
2015,F,25-34,Other Non Hispanic,Malignant Neoplasms,8
2015,F,25-34,Other Non Hispanic,All Other Causes,17
2015,F,25-34,Other Non Hispanic,Total,31
2015,F,25-34,White Non Hispanic,AIDS,1
2015,F,25-34,White Non Hispanic,CLRD,1
2015,F,25-34,White Non Hispanic,Diabetes Mellitus,1
2015,F,25-34,White Non Hispanic,Pneumonia,2
2015,F,25-34,White Non Hispanic,Cerebrovascular Disease,7
2015,F,25-34,White Non Hispanic,Diseases of the Heart,26
2015,F,25-34,White Non Hispanic,Malignant Neoplasms,43
2015,F,25-34,White Non Hispanic,All Other Causes,150
2015,F,25-34,White Non Hispanic,Accidents,162
2015,F,25-34,White Non Hispanic,Total,393
2015,F,35-44,Black Non Hispanic,Diabetes Mellitus,1
2015,F,35-44,Black Non Hispanic,Pneumonia,2
2015,F,35-44,Black Non Hispanic,CLRD,10
2015,F,35-44,Black Non Hispanic,Cerebrovascular Disease,10
2015,F,35-44,Black Non Hispanic,Accidents,17
2015,F,35-44,Black Non Hispanic,AIDS,20
2015,F,35-44,Black Non Hispanic,Diseases of the Heart,63
2015,F,35-44,Black Non Hispanic,Malignant Neoplasms,92
2015,F,35-44,Black Non Hispanic,All Other Causes,111
2015,F,35-44,Black Non Hispanic,Total,326
2015,F,35-44,Hispanic,Pneumonia,2
2015,F,35-44,Hispanic,CLRD,3
2015,F,35-44,Hispanic,Cerebrovascular Disease,4
2015,F,35-44,Hispanic,AIDS,5
2015,F,35-44,Hispanic,Diseases of the Heart,20
2015,F,35-44,Hispanic,Accidents,24
2015,F,35-44,Hispanic,All Other Causes,66
2015,F,35-44,Hispanic,Malignant Neoplasms,74
2015,F,35-44,Hispanic,Total,198
2015,F,35-44,Not Stated,AIDS,1
2015,F,35-44,Not Stated,CLRD,1
2015,F,35-44,Not Stated,Cerebrovascular Disease,1
2015,F,35-44,Not Stated,Pneumonia,1
2015,F,35-44,Not Stated,Accidents,3
2015,F,35-44,Not Stated,Diseases of the Heart,4
2015,F,35-44,Not Stated,All Other Causes,7
2015,F,35-44,Not Stated,Malignant Neoplasms,8
2015,F,35-44,Not Stated,Total,26
2015,F,35-44,Other Non Hispanic,AIDS,2
2015,F,35-44,Other Non Hispanic,Cerebrovascular Disease,3
2015,F,35-44,Other Non Hispanic,Accidents,6
2015,F,35-44,Other Non Hispanic,Diseases of the Heart,7
2015,F,35-44,Other Non Hispanic,All Other Causes,23
2015,F,35-44,Other Non Hispanic,Malignant Neoplasms,36
2015,F,35-44,Other Non Hispanic,Total,77
2015,F,35-44,White Non Hispanic,Diabetes Mellitus,2
2015,F,35-44,White Non Hispanic,AIDS,5
2015,F,35-44,White Non Hispanic,CLRD,7
2015,F,35-44,White Non Hispanic,Pneumonia,15
2015,F,35-44,White Non Hispanic,Cerebrovascular Disease,16
2015,F,35-44,White Non Hispanic,Diseases of the Heart,61
2015,F,35-44,White Non Hispanic,Accidents,135
2015,F,35-44,White Non Hispanic,Malignant Neoplasms,167
2015,F,35-44,White Non Hispanic,All Other Causes,253
2015,F,35-44,White Non Hispanic,Total,661
2015,F,45-54,Black Non Hispanic,Diabetes Mellitus,10
2015,F,45-54,Black Non Hispanic,CLRD,16
2015,F,45-54,Black Non Hispanic,Pneumonia,19
2015,F,45-54,Black Non Hispanic,Cerebrovascular Disease,27
2015,F,45-54,Black Non Hispanic,AIDS,30
2015,F,45-54,Black Non Hispanic,Accidents,51
2015,F,45-54,Black Non Hispanic,Diseases of the Heart,185
2015,F,45-54,Black Non Hispanic,All Other Causes,257
2015,F,45-54,Black Non Hispanic,Malignant Neoplasms,263
2015,F,45-54,Black Non Hispanic,Total,858
2015,F,45-54,Hispanic,Diabetes Mellitus,1
2015,F,45-54,Hispanic,CLRD,13
2015,F,45-54,Hispanic,Pneumonia,15
2015,F,45-54,Hispanic,AIDS,17
2015,F,45-54,Hispanic,Cerebrovascular Disease,18
2015,F,45-54,Hispanic,Accidents,42
2015,F,45-54,Hispanic,Diseases of the Heart,65
2015,F,45-54,Hispanic,All Other Causes,138
2015,F,45-54,Hispanic,Malignant Neoplasms,167
2015,F,45-54,Hispanic,Total,476
2015,F,45-54,Not Stated,AIDS,1
2015,F,45-54,Not Stated,CLRD,2
2015,F,45-54,Not Stated,Accidents,3
2015,F,45-54,Not Stated,Cerebrovascular Disease,3
2015,F,45-54,Not Stated,Diseases of the Heart,7
2015,F,45-54,Not Stated,All Other Causes,17
2015,F,45-54,Not Stated,Malignant Neoplasms,25
2015,F,45-54,Not Stated,Total,58
2015,F,45-54,Other Non Hispanic,Pneumonia,1
2015,F,45-54,Other Non Hispanic,Cerebrovascular Disease,4
2015,F,45-54,Other Non Hispanic,CLRD,5
2015,F,45-54,Other Non Hispanic,Accidents,6
2015,F,45-54,Other Non Hispanic,Diseases of the Heart,14
2015,F,45-54,Other Non Hispanic,All Other Causes,30
2015,F,45-54,Other Non Hispanic,Malignant Neoplasms,72
2015,F,45-54,Other Non Hispanic,Total,132
2015,F,45-54,White Non Hispanic,AIDS,9
2004,M,75-84,Hispanic,CLRD,1247
2015,F,45-54,White Non Hispanic,Diabetes Mellitus,9
2015,F,45-54,White Non Hispanic,Pneumonia,29
2015,F,45-54,White Non Hispanic,Cerebrovascular Disease,46
2015,F,45-54,White Non Hispanic,CLRD,51
2015,F,45-54,White Non Hispanic,Accidents,181
2015,F,45-54,White Non Hispanic,Diseases of the Heart,269
2015,F,45-54,White Non Hispanic,All Other Causes,603
2015,F,45-54,White Non Hispanic,Malignant Neoplasms,783
2015,F,45-54,White Non Hispanic,Total,1980
2015,F,55-64,Black Non Hispanic,Diabetes Mellitus,9
2015,F,55-64,Black Non Hispanic,AIDS,27
2015,F,55-64,Black Non Hispanic,Pneumonia,32
2015,F,55-64,Black Non Hispanic,Accidents,35
2015,F,55-64,Black Non Hispanic,Cerebrovascular Disease,56
2015,F,55-64,Black Non Hispanic,CLRD,64
2015,F,55-64,Black Non Hispanic,Diseases of the Heart,361
2015,F,55-64,Black Non Hispanic,All Other Causes,390
2015,F,55-64,Black Non Hispanic,Malignant Neoplasms,548
2015,F,55-64,Black Non Hispanic,Total,1522
2015,F,55-64,Hispanic,Diabetes Mellitus,7
2015,F,55-64,Hispanic,Pneumonia,18
2015,F,55-64,Hispanic,AIDS,19
2015,F,55-64,Hispanic,Cerebrovascular Disease,23
2015,F,55-64,Hispanic,Accidents,27
2015,F,55-64,Hispanic,CLRD,28
2015,F,55-64,Hispanic,Diseases of the Heart,133
2015,F,55-64,Hispanic,All Other Causes,206
2015,F,55-64,Hispanic,Malignant Neoplasms,302
2015,F,55-64,Hispanic,Total,763
2015,F,55-64,Not Stated,Pneumonia,1
2015,F,55-64,Not Stated,Cerebrovascular Disease,2
2015,F,55-64,Not Stated,Accidents,3
2015,F,55-64,Not Stated,CLRD,5
2015,F,55-64,Not Stated,Diseases of the Heart,17
2015,F,55-64,Not Stated,Malignant Neoplasms,29
2015,F,55-64,Not Stated,All Other Causes,40
2015,F,55-64,Not Stated,Total,97
2015,F,55-64,Other Non Hispanic,Diabetes Mellitus,1
2015,F,55-64,Other Non Hispanic,CLRD,4
2015,F,55-64,Other Non Hispanic,Pneumonia,6
2015,F,55-64,Other Non Hispanic,Accidents,8
2015,F,55-64,Other Non Hispanic,Cerebrovascular Disease,9
2015,F,55-64,Other Non Hispanic,Diseases of the Heart,34
2015,F,55-64,Other Non Hispanic,All Other Causes,57
2015,F,55-64,Other Non Hispanic,Malignant Neoplasms,131
2015,F,55-64,Other Non Hispanic,Total,250
2015,F,55-64,White Non Hispanic,AIDS,4
2015,F,55-64,White Non Hispanic,Diabetes Mellitus,22
2015,F,55-64,White Non Hispanic,Pneumonia,71
2015,F,55-64,White Non Hispanic,Cerebrovascular Disease,118
2015,F,55-64,White Non Hispanic,Accidents,160
2015,F,55-64,White Non Hispanic,CLRD,245
2015,F,55-64,White Non Hispanic,Diseases of the Heart,723
2015,F,55-64,White Non Hispanic,All Other Causes,1147
2015,F,55-64,White Non Hispanic,Malignant Neoplasms,1946
2015,F,55-64,White Non Hispanic,Total,4436
2015,F,65-74,Black Non Hispanic,Diabetes Mellitus,8
2015,F,65-74,Black Non Hispanic,AIDS,13
2015,F,65-74,Black Non Hispanic,Accidents,24
2015,F,65-74,Black Non Hispanic,Pneumonia,49
2015,F,65-74,Black Non Hispanic,Cerebrovascular Disease,65
2015,F,65-74,Black Non Hispanic,CLRD,79
2015,F,65-74,Black Non Hispanic,Diseases of the Heart,518
2015,F,65-74,Black Non Hispanic,All Other Causes,533
2015,F,65-74,Black Non Hispanic,Malignant Neoplasms,704
2015,F,65-74,Black Non Hispanic,Total,1993
2015,F,65-74,Hispanic,AIDS,3
2015,F,65-74,Hispanic,Diabetes Mellitus,7
2015,F,65-74,Hispanic,Accidents,23
2015,F,65-74,Hispanic,Pneumonia,32
2015,F,65-74,Hispanic,CLRD,40
2015,F,65-74,Hispanic,Cerebrovascular Disease,44
2015,F,65-74,Hispanic,Diseases of the Heart,259
2015,F,65-74,Hispanic,All Other Causes,300
2015,F,65-74,Hispanic,Malignant Neoplasms,378
2015,F,65-74,Hispanic,Total,1086
2015,F,65-74,Not Stated,Accidents,2
2015,F,65-74,Not Stated,Pneumonia,3
2015,F,65-74,Not Stated,Cerebrovascular Disease,7
2015,F,65-74,Not Stated,CLRD,8
2015,F,65-74,Not Stated,Diseases of the Heart,28
2015,F,65-74,Not Stated,All Other Causes,39
2015,F,65-74,Not Stated,Malignant Neoplasms,45
2015,F,65-74,Not Stated,Total,132
2015,F,65-74,Other Non Hispanic,Diabetes Mellitus,4
2015,F,65-74,Other Non Hispanic,CLRD,5
2015,F,65-74,Other Non Hispanic,Accidents,6
2015,F,65-74,Other Non Hispanic,Pneumonia,12
2015,F,65-74,Other Non Hispanic,Cerebrovascular Disease,16
2015,F,65-74,Other Non Hispanic,Diseases of the Heart,87
2015,F,65-74,Other Non Hispanic,All Other Causes,90
2015,F,65-74,Other Non Hispanic,Malignant Neoplasms,148
2015,F,65-74,Other Non Hispanic,Total,368
2015,F,65-74,White Non Hispanic,AIDS,3
2015,F,65-74,White Non Hispanic,Diabetes Mellitus,42
2015,F,65-74,White Non Hispanic,Accidents,149
2015,F,65-74,White Non Hispanic,Pneumonia,174
2015,F,65-74,White Non Hispanic,Cerebrovascular Disease,283
2015,F,65-74,White Non Hispanic,CLRD,634
2015,F,65-74,White Non Hispanic,Diseases of the Heart,1523
2015,F,65-74,White Non Hispanic,All Other Causes,2012
2015,F,65-74,White Non Hispanic,Malignant Neoplasms,3203
2015,F,65-74,White Non Hispanic,Total,8023
2015,F,75-84,Black Non Hispanic,AIDS,6
2015,F,75-84,Black Non Hispanic,Accidents,11
2015,F,75-84,Black Non Hispanic,Diabetes Mellitus,11
2015,F,75-84,Black Non Hispanic,CLRD,61
2015,F,75-84,Black Non Hispanic,Pneumonia,71
2015,F,75-84,Black Non Hispanic,Cerebrovascular Disease,139
2015,F,75-84,Black Non Hispanic,Malignant Neoplasms,555
2015,F,75-84,Black Non Hispanic,All Other Causes,757
2015,F,75-84,Black Non Hispanic,Diseases of the Heart,793
2015,F,75-84,Black Non Hispanic,Total,2404
2015,F,75-84,Hispanic,AIDS,2
2015,F,75-84,Hispanic,Diabetes Mellitus,11
2015,F,75-84,Hispanic,Accidents,21
2015,F,75-84,Hispanic,Pneumonia,61
2015,F,75-84,Hispanic,CLRD,67
2015,F,75-84,Hispanic,Cerebrovascular Disease,89
2015,F,75-84,Hispanic,Malignant Neoplasms,391
2015,F,75-84,Hispanic,Diseases of the Heart,399
2015,F,75-84,Hispanic,All Other Causes,493
2015,F,75-84,Hispanic,Total,1534
2015,F,75-84,Not Stated,Diabetes Mellitus,2
2015,F,75-84,Not Stated,Accidents,4
2015,F,75-84,Not Stated,CLRD,5
2015,F,75-84,Not Stated,Cerebrovascular Disease,7
2015,F,75-84,Not Stated,Pneumonia,10
2015,F,75-84,Not Stated,Malignant Neoplasms,42
2015,F,75-84,Not Stated,All Other Causes,56
2015,F,75-84,Not Stated,Diseases of the Heart,77
2015,F,75-84,Not Stated,Total,203
2015,F,75-84,Other Non Hispanic,Diabetes Mellitus,6
2015,F,75-84,Other Non Hispanic,Accidents,8
2015,F,75-84,Other Non Hispanic,CLRD,19
2015,F,75-84,Other Non Hispanic,Pneumonia,30
2015,F,75-84,Other Non Hispanic,Cerebrovascular Disease,43
2015,F,75-84,Other Non Hispanic,Diseases of the Heart,160
2015,F,75-84,Other Non Hispanic,All Other Causes,162
2015,F,75-84,Other Non Hispanic,Malignant Neoplasms,183
2015,F,75-84,Other Non Hispanic,Total,611
2015,F,75-84,White Non Hispanic,Diabetes Mellitus,62
2015,F,75-84,White Non Hispanic,Accidents,233
2015,F,75-84,White Non Hispanic,Pneumonia,357
2015,F,75-84,White Non Hispanic,Cerebrovascular Disease,649
2015,F,75-84,White Non Hispanic,CLRD,1064
2015,F,75-84,White Non Hispanic,Malignant Neoplasms,3330
2015,F,75-84,White Non Hispanic,Diseases of the Heart,3416
2015,F,75-84,White Non Hispanic,All Other Causes,4102
2015,F,75-84,White Non Hispanic,Total,13213
2015,F,85+,Black Non Hispanic,Diabetes Mellitus,17
2015,F,85+,Black Non Hispanic,Accidents,19
2015,F,85+,Black Non Hispanic,CLRD,69
2015,F,85+,Black Non Hispanic,Pneumonia,142
2015,F,85+,Black Non Hispanic,Cerebrovascular Disease,151
2015,F,85+,Black Non Hispanic,Malignant Neoplasms,381
2015,F,85+,Black Non Hispanic,All Other Causes,1112
2015,F,85+,Black Non Hispanic,Diseases of the Heart,1274
2015,F,85+,Black Non Hispanic,Total,3165
2015,F,85+,Hispanic,Diabetes Mellitus,10
2015,F,85+,Hispanic,Accidents,31
2015,F,85+,Hispanic,CLRD,81
2015,F,85+,Hispanic,Pneumonia,113
2015,F,85+,Hispanic,Cerebrovascular Disease,132
2015,F,85+,Hispanic,Malignant Neoplasms,255
2015,F,85+,Hispanic,All Other Causes,839
2015,F,85+,Hispanic,Diseases of the Heart,865
2015,F,85+,Hispanic,Total,2326
2015,F,85+,Not Stated,CLRD,4
2015,F,85+,Not Stated,Diabetes Mellitus,4
2015,F,85+,Not Stated,Accidents,6
2015,F,85+,Not Stated,Pneumonia,13
2015,F,85+,Not Stated,Cerebrovascular Disease,17
2015,F,85+,Not Stated,Malignant Neoplasms,29
2015,F,85+,Not Stated,All Other Causes,99
2015,F,85+,Not Stated,Diseases of the Heart,107
2015,F,85+,Not Stated,Total,279
2015,F,85+,Other Non Hispanic,Diabetes Mellitus,5
2015,F,85+,Other Non Hispanic,Accidents,12
2015,F,85+,Other Non Hispanic,CLRD,29
2015,F,85+,Other Non Hispanic,Cerebrovascular Disease,41
2015,F,85+,Other Non Hispanic,Pneumonia,55
2015,F,85+,Other Non Hispanic,Malignant Neoplasms,101
2015,F,85+,Other Non Hispanic,All Other Causes,286
2015,F,85+,Other Non Hispanic,Diseases of the Heart,331
2015,F,85+,Other Non Hispanic,Total,860
2015,F,85+,White Non Hispanic,AIDS,1
2015,F,85+,White Non Hispanic,Diabetes Mellitus,111
2015,F,85+,White Non Hispanic,Accidents,600
2015,F,85+,White Non Hispanic,Pneumonia,1051
2015,F,85+,White Non Hispanic,CLRD,1375
2015,F,85+,White Non Hispanic,Cerebrovascular Disease,1620
2015,F,85+,White Non Hispanic,Malignant Neoplasms,3109
2015,F,85+,White Non Hispanic,All Other Causes,10410
2015,F,85+,White Non Hispanic,Diseases of the Heart,10734
2015,F,85+,White Non Hispanic,Total,29011
2015,F,<1,Black Non Hispanic,CLRD,1
2015,F,<1,Black Non Hispanic,Accidents,3
2015,F,<1,Black Non Hispanic,Pneumonia,3
2015,F,<1,Black Non Hispanic,Diseases of the Heart,4
2015,F,<1,Black Non Hispanic,All Other Causes,136
2015,F,<1,Black Non Hispanic,Total,147
2015,F,<1,Hispanic,Accidents,1
2015,F,<1,Hispanic,Diseases of the Heart,1
2015,F,<1,Hispanic,Pneumonia,1
2015,F,<1,Hispanic,Cerebrovascular Disease,2
2015,F,<1,Hispanic,All Other Causes,93
2015,F,<1,Hispanic,Total,98
2015,F,<1,Not Stated,All Other Causes,21
2015,F,<1,Not Stated,Total,21
2015,F,<1,Other Non Hispanic,Accidents,1
2015,F,<1,Other Non Hispanic,All Other Causes,20
2015,F,<1,Other Non Hispanic,Total,21
2015,F,<1,White Non Hispanic,Malignant Neoplasms,1
2015,F,<1,White Non Hispanic,Pneumonia,1
2015,F,<1,White Non Hispanic,Accidents,8
2015,F,<1,White Non Hispanic,Diseases of the Heart,9
2015,F,<1,White Non Hispanic,All Other Causes,184
2015,F,<1,White Non Hispanic,Total,203
2015,M,1-9,Black Non Hispanic,Pneumonia,1
2015,M,1-9,Black Non Hispanic,Cerebrovascular Disease,2
2015,M,1-9,Black Non Hispanic,CLRD,4
2015,M,1-9,Black Non Hispanic,Malignant Neoplasms,4
2015,M,1-9,Black Non Hispanic,Accidents,5
2015,M,1-9,Black Non Hispanic,All Other Causes,25
2015,M,1-9,Black Non Hispanic,Total,41
2015,M,1-9,Hispanic,CLRD,1
2015,M,1-9,Hispanic,Diseases of the Heart,1
2015,M,1-9,Hispanic,Malignant Neoplasms,4
2015,M,1-9,Hispanic,Accidents,5
2015,M,1-9,Hispanic,All Other Causes,18
2015,M,1-9,Hispanic,Total,29
2015,M,1-9,Not Stated,Accidents,1
2015,M,1-9,Not Stated,Malignant Neoplasms,1
2015,M,1-9,Not Stated,All Other Causes,3
2015,M,1-9,Not Stated,Total,5
2015,M,1-9,Other Non Hispanic,Malignant Neoplasms,1
2015,M,1-9,Other Non Hispanic,All Other Causes,8
2015,M,1-9,Other Non Hispanic,Total,9
2015,M,1-9,White Non Hispanic,Cerebrovascular Disease,1
2015,M,1-9,White Non Hispanic,Diseases of the Heart,2
2015,M,1-9,White Non Hispanic,Malignant Neoplasms,11
2015,M,1-9,White Non Hispanic,Accidents,20
2015,M,1-9,White Non Hispanic,All Other Causes,29
2015,M,1-9,White Non Hispanic,Total,63
2015,M,10-19,Black Non Hispanic,CLRD,2
2015,M,10-19,Black Non Hispanic,Diseases of the Heart,2
2015,M,10-19,Black Non Hispanic,Malignant Neoplasms,10
2015,M,10-19,Black Non Hispanic,Accidents,15
2015,M,10-19,Black Non Hispanic,All Other Causes,69
2015,M,10-19,Black Non Hispanic,Total,98
2015,M,10-19,Hispanic,CLRD,2
2015,M,10-19,Hispanic,Cerebrovascular Disease,3
2015,M,10-19,Hispanic,Malignant Neoplasms,5
2015,M,10-19,Hispanic,Accidents,23
2015,M,10-19,Hispanic,All Other Causes,26
2015,M,10-19,Hispanic,Total,59
2015,M,10-19,Not Stated,CLRD,1
2015,M,10-19,Not Stated,Accidents,3
2015,M,10-19,Not Stated,All Other Causes,5
2015,M,10-19,Not Stated,Total,9
2015,M,10-19,Other Non Hispanic,Cerebrovascular Disease,1
2015,M,10-19,Other Non Hispanic,Malignant Neoplasms,4
2015,M,10-19,Other Non Hispanic,Accidents,6
2015,M,10-19,Other Non Hispanic,All Other Causes,10
2015,M,10-19,Other Non Hispanic,Total,21
2015,M,10-19,White Non Hispanic,Diseases of the Heart,7
2015,M,10-19,White Non Hispanic,Malignant Neoplasms,19
2015,M,10-19,White Non Hispanic,Accidents,62
2015,M,10-19,White Non Hispanic,All Other Causes,73
2015,M,10-19,White Non Hispanic,Total,161
2015,M,20-24,Black Non Hispanic,CLRD,1
2015,M,20-24,Black Non Hispanic,Cerebrovascular Disease,1
2015,M,20-24,Black Non Hispanic,AIDS,3
2015,M,20-24,Black Non Hispanic,Diseases of the Heart,4
2015,M,20-24,Black Non Hispanic,Malignant Neoplasms,7
2015,M,20-24,Black Non Hispanic,Accidents,32
2015,M,20-24,Black Non Hispanic,All Other Causes,109
2015,M,20-24,Black Non Hispanic,Total,157
2015,M,20-24,Hispanic,AIDS,2
2015,M,20-24,Hispanic,Pneumonia,4
2015,M,20-24,Hispanic,Diseases of the Heart,6
2015,M,20-24,Hispanic,Malignant Neoplasms,9
2015,M,20-24,Hispanic,Accidents,60
2015,M,20-24,Hispanic,All Other Causes,78
2015,M,20-24,Hispanic,Total,159
2015,M,20-24,Not Stated,Malignant Neoplasms,1
2015,M,20-24,Not Stated,Diseases of the Heart,2
2015,M,20-24,Not Stated,All Other Causes,3
2015,M,20-24,Not Stated,Accidents,7
2015,M,20-24,Not Stated,Total,13
2015,M,20-24,Other Non Hispanic,Diseases of the Heart,1
2015,M,20-24,Other Non Hispanic,Pneumonia,1
2015,M,20-24,Other Non Hispanic,Malignant Neoplasms,2
2015,M,20-24,Other Non Hispanic,Accidents,12
2015,M,20-24,Other Non Hispanic,All Other Causes,20
2015,M,20-24,Other Non Hispanic,Total,36
2015,M,20-24,White Non Hispanic,AIDS,1
2015,M,20-24,White Non Hispanic,Cerebrovascular Disease,1
2015,M,20-24,White Non Hispanic,CLRD,2
2015,M,20-24,White Non Hispanic,Diabetes Mellitus,2
2015,M,20-24,White Non Hispanic,Pneumonia,3
2015,M,20-24,White Non Hispanic,Diseases of the Heart,6
2015,M,20-24,White Non Hispanic,Malignant Neoplasms,18
2015,M,20-24,White Non Hispanic,All Other Causes,123
2015,M,20-24,White Non Hispanic,Accidents,209
2015,M,20-24,White Non Hispanic,Total,365
2015,M,25-34,Black Non Hispanic,Cerebrovascular Disease,3
2015,M,25-34,Black Non Hispanic,CLRD,6
2015,M,25-34,Black Non Hispanic,Pneumonia,6
2015,M,25-34,Black Non Hispanic,AIDS,15
2015,M,25-34,Black Non Hispanic,Malignant Neoplasms,17
2015,M,25-34,Black Non Hispanic,Diseases of the Heart,26
2015,M,25-34,Black Non Hispanic,Accidents,62
2015,M,25-34,Black Non Hispanic,All Other Causes,229
2015,M,25-34,Black Non Hispanic,Total,364
2015,M,25-34,Hispanic,CLRD,1
